Date,Time,Diagram,Action,Version,Commit,Author,CommitMessage
06.06.2025,08:47:43,"3.1.SAP BTP and Cloud","Converted to PNG","1.0","0294cc9","Lucas Dreger","Update 3.1.SAP BTP and Cloud.drawio"
06.06.2025,10:35:29,"3.1.SAP BTP and Cloud","Converted to PNG","1.1","9b912a2","Lucas Dreger","Update 3.1.SAP BTP and Cloud.drawio"
06.06.2025,12:52:15,"3.1.User Provisioning Strategy","Converted to PNG","1.0","1630351","Lucas Dreger","Added 3.1.User Provisioning Strategy.drawio"
06.06.2025,12:54:26,"3.1.SAP Cloud Simplified","Converted to PNG","1.0","e0a9abd","Lucas Dreger","Update 3.1.SAP Cloud Simplified.drawio"
06.06.2025,13:13:03,"3.1.User Provisioning Strategy","Converted to PNG","1.1","ecec6e3","Lucas Dreger","Update 3.1.User Provisioning Strategy.drawio"
06.06.2025,13:13:53,"3.2.MyTime - Connection SAP-ATOSS","Failed - Conversion Error","1.0","1f788ca","Lucas Dreger","Added 3.2.MyTime - Connection SAP-ATOSS.drawio"
06.06.2025,13:19:15,"0.2.External User Identity Provision Idea","Failed - Conversion Error","1.0","d6346e0","Lucas Dreger","Added 0.2.External User Identity Provision Idea.drawio"
06.06.2025,13:21:39,"0.1.System Monitoring Idea","Failed - Conversion Error","1.0","2bae582","Lucas Dreger","Added 0.1.System Monitoring Idea.drawio"
06.06.2025,13:22:34,"3.1. SAP Task Center","Failed - Conversion Error","1.0","15732d2","Lucas Dreger","Added 3.1. SAP Task Center.drawio"
06.06.2025,13:23:21,"3.3. Workzone and Mobile Start","Failed - Conversion Error","1.0","2f76c9e","Lucas Dreger","Added 3.3. Workzone and Mobile Start.drawio"
06.06.2025,13:31:05,"3.1. SAP Task Center","Converted to PNG","1.0","1191c81","Lucas Dreger","Generate PNG files and update changelog [skip ci]"
06.06.2025,13:31:06,"0.1.System Monitoring Idea","Converted to PNG","1.1","48eb998","Lucas Dreger","Update 0.1.System Monitoring Idea.drawio"
10.06.2025,06:12:23,"0.2.External User Identity Provision Idea","Converted to PNG","1.1","19184c1","Lucas Dreger","Update 0.2.External User Identity Provision Idea.drawio"
10.06.2025,06:14:23,"3.1. SAP Task Center","Converted to PNG","1.1","dca2334","Lucas Dreger","Update 3.1. SAP Task Center.drawio"
10.06.2025,06:15:10,"3.2.Business Partner - Seeburger connection","Converted to PNG","1.0","30716b4","Lucas Dreger","Update 3.2.Business Partner - Seeburger connection.drawio"
10.06.2025,06:15:59,"3.2.MyTime - Connection SAP-ATOSS","Converted to PNG","1.1","1437d08","Lucas Dreger","Update 3.2.MyTime - Connection SAP-ATOSS.drawio"
10.06.2025,06:19:01,"3.3. Workzone and Mobile Start","Converted to PNG","1.1","c9f43ec","Lucas Dreger","Update 3.3. Workzone and Mobile Start.drawio"
10.06.2025,06:20:39,"0.1. Monitoring Proposed Strategy","Failed - Conversion Error","1.0","fe873a8","Lucas Dreger","Added 0.1. Monitoring Proposed Strategy.drawio"
10.06.2025,06:21:48,"0.1. Monitoring Proposed Strategy","Converted to PNG","1.1","a1194bf","Lucas Dreger","Update 0.1. Monitoring Proposed Strategy.drawio"
10.06.2025,06:22:47,"System","No Diagrams Changed","N/A","9a53aca","Lucas Dreger","Delete drawio_files/1.drawio"
10.06.2025,08:33:31,"0.2. FRoSTA Azure","Converted to PNG","1.0","1650c92","Lucas Dreger","Added 0.2. FRoSTA Azure.drawio"
11.06.2025,08:58:37,"System","No Diagrams Changed","N/A","122fc0e","Lucas Dreger","Delete drawio_files/0.1.System Monitoring Idea.drawio"
13.06.2025,06:08:27,"0.2. Seeburger Setup Over VPN","Failed - Conversion Error","1.0","6d24664","Lucas Dreger","Added 0.2. Seeburger Setup Over VPN.drawio"
13.06.2025,06:10:04,"0.2. Seeburger Setup Over VPN","Converted to PNG","1.1","57f7d8c","Lucas Dreger","Update 0.2. Seeburger Setup Over VPN.drawio"
